sector,coordinates
sector 1,"28.3663° N, 76.9456° E"
sector 2,"28.5095° N, 77.0320° E"
sector 3,"28.4909° N, 77.0176° E"
sector 4,"28.4738° N, 77.0107° E"
sector 5,"28.4794° N, 77.0176° E"
sector 6,"28.4745° N, 77.0262° E"
sector 7,"28.4644° N, 77.0143° E"
sector 8,"28.3738° N, 76.8970° E"
sector 9,"28.4603° N, 77.0000° E"
sector 10,"28.4537° N, 77.0009° E"
sector 10a,"28.4469° N, 77.0106° E"
sector 11,"28.4531° N, 77.0202° E"
sector 12,"28.4723° N, 77.0320° E"
sector 13,"28.4757° N, 77.0392° E"
sector 14,"28.4711° N, 77.0454° E"
sector 15,"28.4621° N, 77.0464° E"
sector 16,"28.4684° N, 77.0521° E"
sector 17,"28.4791° N, 77.0608° E"
sector 17a,"28.4785° N, 77.0600° E"
sector 17b,"28.4806° N, 77.0663° E"
sector 18,"28.4908° N, 77.0690° E"
sector 19,"28.5040° N, 77.0748° E"
sector 20,"28.5106° N, 77.0857° E"
sector 21,"28.5134° N, 77.0723° E"
sector 22,"28.5072° N, 77.0640° E"
sector 23,"28.5121° N, 77.0478° E"
sector 24,"28.4939° N, 77.1038° E"
sector 25,"28.4844° N, 77.0860° E"
sector 26,"28.4757° N, 77.1032° E"
sector 27,"28.4658° N, 77.0917° E"
sector 28,"28.4728° N, 77.0865° E"
sector 29,"28.4669° N, 77.0663° E"
sector 30,"28.4604° N, 77.0579° E"
sector 31,"28.4528° N, 77.0498° E"
sector 32,"28.4472° N, 77.0406° E"
sector 33,"28.4420° N, 77.0207° E"
sector 34,"28.4294° N, 77.0048° E"
sector 35,"28.4155° N, 77.0022° E"
sector 36,"28.4160° N, 76.9914° E"
sector 37,"28.4375° N, 76.9999° E"
sector 37a,"28.4419° N, 76.9924° E"
sector 37c,"28.4515° N, 76.9882° E"
sector 37d,"28.4478° N, 76.9703° E"
sector 38,"28.4347° N, 77.0430° E"
sector 39,"28.4434° N, 77.0515° E"
sector 40,"28.4498° N, 77.0567° E"
sector 41,"28.4557° N, 77.0632° E"
sector 42,"28.4576° N, 77.1020° E"
sector 43,"28.4629° N, 77.0772° E"
sector 44,"28.4485° N, 77.0759° E"
sector 45,"28.4466° N, 77.0660° E"
sector 46,"28.4374° N, 77.0586° E"
sector 47,"28.4276° N, 77.0492° E"
sector 48,"28.4177° N, 77.0359° E"
sector 49,"28.4121° N, 77.0480° E"
sector 50,"28.4178° N, 77.0628° E"
sector 51,"28.4320° N, 77.0686° E"
sector 52,"28.4379° N, 77.0785° E"
sector 53,"28.4433° N, 77.0948° E"
sector 54,"28.4348° N, 77.1089° E"
sector 55,"28.4281° N, 77.1100° E"
sector 56,"28.4245° N, 77.0991° E"
sector 57,"28.4232° N, 77.0752° E"
sector 58,"28.4200° N, 77.1105° E"
sector 59,"28.4051° N, 77.1097° E"
sector 60,"28.4003° N, 77.0975° E"
sector 61,"28.4050° N, 77.0963° E"
sector 62,"28.4139° N, 77.0886° E"
sector 63,"28.3971° N, 77.0867° E"
sector 63a,"28.3923° N, 77.0888° E"
sector 64,"28.3903° N, 77.0752° E"
sector 65,"28.4030° N, 77.0690° E"
sector 66,"28.3925° N, 77.0541° E"
sector 67,"28.3859° N, 77.0608° E"
sector 67a,"28.3960° N, 77.0372° E"
sector 68,"28.3853° N, 77.0484° E"
sector 69,"28.3966° N, 77.0341° E"
sector 70,"28.3968° N, 77.0233° E"
sector 71,"28.4104° N, 77.0281° E"
sector 72,"28.4225° N, 77.0211° E"
sector 73,"28.4072° N, 77.0118° E"
sector 74,"28.4158° N, 77.0118° E"
sector 75,"28.3925° N, 77.0089° E"
sector 76,"28.3935° N, 76.9888° E"
sector 77,"28.3801° N, 76.9845° E"
sector 78,"28.3733° N, 76.9729° E"
sector 79,"28.3624° N, 76.9787° E"
sector 80,"28.3659° N, 76.9557° E"
sector 81,"28.3867° N, 76.9485° E"
sector 82,"28.3935° N, 76.9600° E"
sector 82a,"28.3858° N, 76.9686° E"
sector 83,"28.3986° N, 76.9647° E"
sector 84,"28.3979° N, 76.9736° E"
sector 85,"28.4042° N, 76.9513° E"
sector 86,"28.3986° N, 76.9384° E"
sector 87,"28.3936° N, 76.9312° E"
sector 88,"28.4220° N, 76.9571° E"
sector 88a,"28.4347° N, 76.9557° E"
sector 88b,"28.4446° N, 76.9542° E"
sector 89,"28.4253° N, 76.9439° E"
sector 90,"28.4085° N, 76.9369° E"
sector 91,"28.4014° N, 76.9225° E"
sector 92,"28.4079° N, 76.9153° E"
sector 93,"28.4153° N, 76.9326° E"
sector 94,"28.4223° N, 76.9312° E"
sector 95,"28.4172° N, 76.9081° E"
sector 96,"28.3966° N, 76.8735° E"
sector 97,"28.4086° N, 76.8793° E"
sector 98,"28.4192° N, 76.8995° E"
sector 99,"28.4640° N, 76.9614° E"
sector 99a,"28.4561° N, 76.9542° E"
sector 100,"28.4613° N, 76.9708° E"
sector 101,"28.4672° N, 76.9801° E"
sector 102,"28.4750° N, 76.9715° E"
sector 103,"28.4949° N, 76.9845° E"
sector 104,"28.4788° N, 76.9960° E"
sector 105,"28.4952° N, 77.0114° E"
sector 106,"28.5007° N, 77.0003° E"
sector 107,"28.5052° N, 76.9729° E"
sector 108,"28.5134° N, 76.9830° E"
sector 109,"28.5073° N, 77.0089° E"
sector 110,"28.5145° N, 77.0197° E"
sector 111,"28.5238° N, 77.0320° E"
sector 112,"28.5189° N, 77.0183° E"
sector 113,"28.5287° N, 77.0233° E"
sector 114,"28.5334° N, 77.0118° E"
sector 115,"28.5385° N, 77.0061° E"
gwal pahari,"28.4484° N, 77.0210° E"
manesar,"28.3515° N, 76.9428° E"